,embedding,name
163,"[1.0111547e-06 2.7305438e-07 2.4916034e-07 ... 4.7516795e-09 3.5467591e-09
 2.6389229e-09]",embedding_kimia_subset26
164,"[2.6168176e-05 1.9187903e-05 1.8506266e-06 ... 2.4217023e-08 4.3706269e-08
 3.6507391e-08]",embedding_sti10_subset87
165,"[7.3476131e-06 8.1756589e-06 3.3015656e-06 ... 2.5264640e-08 1.0003707e-08
 9.9711883e-09]",embedding_textures_subset11
166,"[1.4511669e-05 7.2766848e-06 8.5667006e-07 ... 7.0251414e-09 2.9606117e-08
 6.9112009e-09]",embedding_stl10_subset3
167,"[3.3387460e-06 2.8667334e-06 8.9152348e-07 ... 8.4450225e-09 2.0005091e-08
 2.1577698e-08]",embedding_textures_subset55
168,"[3.5342314e-06 3.7113423e-07 1.4975093e-07 ... 4.4354524e-09 1.7910132e-09
 7.6780422e-09]",embedding_kimia_subset62
169,"[1.0486318e-05 6.1128544e-06 2.9306216e-07 ... 8.6920497e-09 1.8033964e-08
 2.8977146e-08]",embedding_stl10_subset92
170,"[6.91754860e-04 1.68738165e-03 8.88337308e-05 ... 1.03657015e-07
 5.23834728e-07 8.71652759e-08]",embedding_chest_subset24
171,"[2.5384326e-04 3.6258769e-04 2.1481144e-04 ... 2.3595858e-07 7.4376679e-08
 8.6612516e-07]",embedding_pcam-middle_subset5
172,"[2.06032099e-04 2.22728238e-04 1.00481382e-04 ... 1.16220741e-10
 1.00149194e-07 4.55094238e-07]",embedding_pcam-small_subset88
173,"[7.3555193e-04 1.3342868e-04 1.3075104e-05 ... 9.0130561e-07 3.4914848e-07
 8.7654946e-08]",embedding_isic_subset55
174,"[2.3944392e-04 3.1944952e-04 1.7437103e-04 ... 1.7371543e-06 2.8944396e-06
 1.1351106e-06]",embedding_pcam-middle_subset12
175,"[3.3146152e-04 4.4972647e-04 2.1934834e-04 ... 4.7713438e-06 1.0346753e-06
 2.4705817e-12]",embedding_pcam-middle_subset79
176,"[2.9217186e-05 2.0176454e-05 2.0880589e-06 ... 1.3177450e-08 3.7746833e-08
 1.5688983e-07]",embedding_sti10_subset24
177,"[1.9874119e-06 1.9678895e-07 1.0222319e-07 ... 7.5632238e-09 2.3360696e-09
 9.0295682e-09]",embedding_kimia_subset85
178,"[3.1141153e-05 1.1961450e-05 5.2033636e-07 ... 1.5884501e-08 7.3629288e-08
 1.9529896e-08]",embedding_stl10_subset75
179,"[3.0653587e-06 4.0216937e-06 7.3622391e-07 ... 8.1832514e-09 7.8299447e-09
 1.2036016e-08]",embedding_textures_subset34
180,"[1.69695049e-04 2.24527656e-04 1.01144986e-04 ... 7.93735524e-07
 8.93646927e-07 4.55546768e-07]",embedding_pcam-small_subset82
181,"[6.8768259e-04 6.7408039e-04 1.9019268e-05 ... 1.3297846e-06 2.0393162e-07
 4.7265676e-08]",embedding_chest_subset45
182,"[2.5404737e-05 8.1799435e-06 9.4023073e-07 ... 6.4821206e-09 1.2917750e-08
 1.4336151e-08]",embedding_stl10_subset98
183,"[1.52043385e-05 3.37856818e-06 1.24430517e-06 ... 3.07875716e-08
 1.42484993e-07 1.01841824e-08]",embedding_kimia_subset68
184,"[3.4345902e-04 4.1591210e-04 2.1123710e-04 ... 1.6822725e-06 2.1073981e-06
 6.0531488e-06]",embedding_pcam-middle_subset94
